pl_name,disc_facility,sy_vmag,sy_kmag,sy_gaiamag
HAT-P-12 b,HATNet,12.665,10.108,12.4197
HAT-P-14 b,HATNet,9.988,8.851,9.87283
HAT-P-15 b,HATNet,12.41,9.641,11.7232
HAT-P-16 b,HATNet,10.911,9.553001,10.7568
HAT-P-17 b,HATNet,10.375,8.544,10.2743
HAT-P-18 b,HATNet,12.597,10.234,12.3682
HAT-P-20 b,HATNet,11.231,8.601,10.9903
HAT-P-21 b,HATNet,11.459,10.111,11.5583
HAT-P-22 b,HATNet,9.763,7.837,9.51936
HAT-P-23 b,HATNet,11.937,10.791,12.1741
HAT-P-24 b,HATNet,11.762,10.543,11.6396
HAT-P-25 b,HATNet,13.146,10.815,12.8416
HAT-P-26 b,HATNet,11.757,9.581,11.4641
HAT-P-27 b,HATNet,12.052,10.109,11.9562
HAT-P-28 b,HATNet,13.098,11.104,12.8718
HAT-P-29 b,HATNet,11.825,10.297,11.7336
HAT-P-3 b,HATNet,11.856,9.448,11.2795
HAT-P-30 b,HATNet,10.352,9.151,10.2998
HAT-P-31 b,HATNet,11.667,10.083,11.4501
HAT-P-32 b,HATNet,11.439,9.99,11.1335
HAT-P-33 b,HATNet,11.032,10.004,11.0238
HAT-P-34 b,HATNet,10.403,9.247,10.1944
HAT-P-35 b,HATNet,12.389,11.03,12.2802
HAT-P-37 b,HATNet,13.427,11.667,13.2615
HAT-P-38 b,HATNet,12.525,10.501,12.3021
HAT-P-39 b,HATNet,12.282,11.157,12.2269
HAT-P-4 b,HATNet,11.118,9.770001,11.0634
HAT-P-40 b,HATNet,11.34,10.009,11.4162
HAT-P-41 b,HATNet,11.365,9.728,10.939
HAT-P-42 b,HATNet,12.125,10.626,12.0031
HAT-P-44 b,HATNet,13.225,11.275,12.9729
HAT-P-45 b,HATNet,12.783,10.201,12.3977
HAT-P-46 b,HATNet,11.997,9.924,11.6843
HAT-P-49 b,HATNet,10.205,9.346,10.2071
HAT-P-5 b,HATNet,11.954,10.481,11.8224
HAT-P-50 b,HATNet,11.703,10.5,11.6722
HAT-P-52 b,HATNet,14.107,11.621,13.787
HAT-P-53 b,HATNet,13.78,12.1,13.5142
HAT-P-54 b,HATNet,13.398,10.326,13.0172
HAT-P-57 b,HATNet,10.639,9.433,10.4253
HAT-P-58 b,HATNet,12.925,10.978,12.7202
HAT-P-59 b,HATNet,11.64,10.208,11.6787
HAT-P-6 b,HATNet,10.469,9.313,10.3056
HAT-P-60 b,HATNet,9.727,8.368,9.56355
HAT-P-61 b,HATNet,13.096,11.141,12.9386
HAT-P-62 b,HATNet,12.539,10.701,12.4362
HAT-P-63 b,HATNet,13.657,11.512,13.5106
HAT-P-64 b,HATNet,12.855,11.123,12.6221
HAT-P-66 b,HATNet,13.014,11.675,12.8922
HAT-P-67 b,HATNet,10.106,8.9,9.97496
HAT-P-68 b,HATNet,13.802,11.019,13.5442
HAT-P-69 b,HATNet,9.774,9.28,9.77332
HAT-P-7 b,HATNet,10.481,9.334,10.3654
HAT-P-70 b,HATNet,9.47,8.963,9.45174
HAT-P-8 b,HATNet,10.358,8.953,10.1489
HAT-P-9 b,HATNet,12.344,11.015,12.1536
NGTS-1 b,Next-Generation Transit Survey (NGTS),15.667,11.936,14.8661
NGTS-10 b,Next-Generation Transit Survey (NGTS),14.506,11.728,14.2604
NGTS-12 b,Next-Generation Transit Survey (NGTS),12.382,10.588,12.1279
NGTS-13 b,Next-Generation Transit Survey (NGTS),12.744,11.141,12.5691
NGTS-14 A b,Next-Generation Transit Survey (NGTS),13.268,11.305,13.0986
NGTS-15 b,Next-Generation Transit Survey (NGTS),14.669,12.907,14.4299
NGTS-16 b,Next-Generation Transit Survey (NGTS),14.529,12.647,14.2311
NGTS-17 b,Next-Generation Transit Survey (NGTS),14.412,12.724,14.2136
NGTS-18 b,Next-Generation Transit Survey (NGTS),14.588,12.87,14.3896
NGTS-2 b,Next-Generation Transit Survey (NGTS),10.789,9.799,10.8605
NGTS-21 b,Next-Generation Transit Survey (NGTS),15.506,12.951,15.224
NGTS-23 b,Next-Generation Transit Survey (NGTS),14.126,12.73,13.9535
NGTS-24 b,Next-Generation Transit Survey (NGTS),13.214,11.51,13.0525
NGTS-25 b,Next-Generation Transit Survey (NGTS),14.333,12.324,14.0864
NGTS-26 b,Next-Generation Transit Survey (NGTS),15.009,13.119,14.7261
NGTS-32 b,Next-Generation Transit Survey (NGTS),13.588,11.689,13.3116
NGTS-4 b,Next-Generation Transit Survey (NGTS),13.138,11.073,12.9092
NGTS-5 b,Next-Generation Transit Survey (NGTS),13.789,11.612,13.526
NGTS-6 b,Next-Generation Transit Survey (NGTS),14.237,11.65,13.8175
NGTS-8 b,Next-Generation Transit Survey (NGTS),13.69,11.642,13.4954
NGTS-9 b,Next-Generation Transit Survey (NGTS),12.868,11.452,12.6547
WASP-100 b,SuperWASP,10.798,9.669,10.6151
WASP-101 b,SuperWASP,10.336,9.075,10.138
WASP-102 b,SuperWASP,12.667,11.106,12.562
WASP-104 b,SuperWASP,11.779,9.882,11.5931
WASP-105 b,SuperWASP-South,12.049,9.935,11.8445
WASP-106 b,SuperWASP,11.21,10.161,11.3659
WASP-11 b,SuperWASP,11.567,9.421,11.5535
WASP-113 b,SuperWASP-North,11.761,10.311,11.6041
WASP-114 b,SuperWASP-North,12.685,11.074,12.5227
WASP-116 b,SuperWASP,12.517,11.021,12.2577
WASP-117 b,SuperWASP,10.139,8.78,10.0269
WASP-118 b,SuperWASP,11.009,9.788,10.9196
WASP-119 b,SuperWASP-South,12.314,10.545,12.1014
WASP-120 b,SuperWASP,10.96,9.877,10.8989
WASP-123 b,SuperWASP,11.03,9.362001,10.8999
WASP-124 b,SuperWASP-South,12.724,11.31,12.5754
WASP-129 b,SuperWASP-South,12.179,10.412,11.8127
WASP-13 b,SuperWASP,10.424,9.119,10.38
WASP-130 b,SuperWASP-South,11.104,9.461,10.9717
WASP-131 b,SuperWASP-South,10.068,8.573,9.86708
WASP-132 b,SuperWASP-South,11.938,9.674,11.7538
WASP-133 b,SuperWASP-South,12.891,11.18,12.7146
WASP-135 b,SuperWASP,13.181,11.037,13.0045
WASP-139 b,SuperWASP-South,12.456,10.472,12.2715
WASP-14 b,SuperWASP,9.745,8.621,9.64647
WASP-140 b,SuperWASP-South,11.118,9.165,10.8202
WASP-141 b,SuperWASP-South,12.65,11.194,12.4822
WASP-142 b,SuperWASP-South,12.871,11.442,12.7568
WASP-144 b,SuperWASP-South,13.085,10.897,12.915
WASP-145 A b,SuperWASP-South,11.636,9.194,11.3583
WASP-147 b,SuperWASP-South,12.681,10.857,12.1832
WASP-148 b,SuperWASP-North,12.036,10.506,12.0845
WASP-149 b,SuperWASP,11.687,9.825,11.2622
WASP-15 b,SuperWASP,10.972,9.693,10.797
WASP-150 b,SuperWASP-North,12.026,10.747,11.9151
WASP-153 b,SuperWASP,12.591,11.051,12.4967
WASP-154 b,SuperWASP,13.191,10.774,12.8344
WASP-155 b,SuperWASP,12.365,10.86,12.4962
WASP-156 b,SuperWASP,11.559,9.339,11.3227
WASP-158 b,SuperWASP-South,12.044,10.881,12.0911
WASP-159 b,SuperWASP-South,12.836,11.017,12.2951
WASP-16 b,SuperWASP,11.288,9.589,11.1247
WASP-160 B b,SuperWASP-South,13.04,11.055,12.8842
WASP-162 b,SuperWASP-South,12.213,10.466,12.0652
WASP-164 b,SuperWASP-South,12.603,10.959,12.4679
WASP-165 b,SuperWASP-South,12.816,11.024,12.5435
WASP-168 b,SuperWASP-South,12.124,10.443,11.7139
WASP-17 b,SuperWASP,11.588,10.224,11.3803
WASP-172 b,SuperWASP-South,10.988,10.13,11.0099
WASP-173 A b,SuperWASP-South,11.15,10.002,11.3975
WASP-174 b,SuperWASP-South,11.803,10.579,11.6826
