,pl_name,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,sy_vmag,sy_kmag,sy_gaiamag
2,HAT-P-12 b,HATNet,3.2130598,10.749,67.059,0,4650,0.701,0.733,12.665,10.108,12.4197
4,HAT-P-14 b,HATNet,4.62767,15.91678,1093.3352,0.11,6600,1.82,2.65,9.988,8.851,9.87283
5,HAT-P-15 b,HATNet,10.8635,11.88154,616.5902,0.19,5568,1.07,1,12.41,9.641,11.7232
6,HAT-P-16 b,HATNet,2.77596,14.448,1332.605,0.036,6158,1.237,1.218,10.911,9.553001,10.7568
7,HAT-P-17 b,HATNet,10.33852,11.76945,184.3414,0.35,5246,0.87,0.99,10.375,8.544,10.2743
8,HAT-P-18 b,HATNet,5.508023,11.153,62.61,0.084,4803,0.749,0.77,12.597,10.234,12.3682
11,HAT-P-20 b,HATNet,2.875317,9.718,2302.899,0.015,4595,0.694,0.756,11.231,8.601,10.9903
12,HAT-P-21 b,HATNet,4.12448,12.44199,1547.8321,0.23,5588,1.21,1.24,11.459,10.111,11.5583
13,HAT-P-22 b,HATNet,3.21222,12.89035,785.0401,0.02,5302,1.11,1.13,9.763,7.837,9.51936
14,HAT-P-23 b,HATNet,1.212884,15.334,664.237,0.106,5905,1.203,1.13,11.937,10.791,12.1741
15,HAT-P-24 b,HATNet,3.35524,14.5717,238.3725,0.07,6373,1.38,1.37,11.762,10.543,11.6396
16,HAT-P-25 b,HATNet,3.65281514,12.722215,180.84527,0.023,5519,0.919,1.012,13.146,10.815,12.8416
17,HAT-P-26 b,HATNet,4.23452,7.06167,22.2481,0.12,5079,0.87,1.12,11.757,9.581,11.4641
18,HAT-P-27 b,HATNet,3.039577,11.43,197.05,0,5316,0.864673,0.916,12.052,10.109,11.9562
19,HAT-P-28 b,HATNet,3.257215,13.585,198.953,0.051,5680,1.103,1.025,13.098,11.104,12.8718
20,HAT-P-29 b,HATNet,5.72319,13.11453,279.6904,0.09,6087,1.3,1.45,11.825,10.297,11.7336
21,HAT-P-3 b,HATNet,2.8997,10.53646,206.5895,0,5185,0.87,1.06,11.856,9.448,11.2795
22,HAT-P-30 b,HATNet,2.8106,16.14096,263.7989,0.04,6304,1.31,1.55,10.352,9.151,10.2998
23,HAT-P-31 b,HATNet,5.00542,12.21781,721.4741,0.25,6065,1.39,1.31,11.667,10.083,11.4501
24,HAT-P-32 b,HATNet,2.1500082,22.19382,216.1244,0.159,6001,1.367,1.132,11.439,9.99,11.1335
25,HAT-P-33 b,HATNet,3.47447,20.73665,292.4036,0,6446,1.79,1.82,11.032,10.004,11.0238
26,HAT-P-34 b,HATNet,5.452654,13.417173,1058.3739,0.432,6442,1.53,1.392,10.403,9.247,10.1944
27,HAT-P-35 b,HATNet,3.646706,14.930388,335.62848,0.02,6096,1.435,1.236,12.389,11.03,12.2802
29,HAT-P-37 b,HATNet,2.797436,13.204,371.528,0.058,5500,0.877,0.929,13.427,11.667,13.2615
30,HAT-P-38 b,HATNet,4.640382,9.247,84.857,0.067,5330,0.923,0.886,12.525,10.501,12.3021
31,HAT-P-39 b,HATNet,3.54387,17.609,190.372,0,6430,1.625,1.404,12.282,11.157,12.2269
32,HAT-P-4 b,HATNet,3.056536,14.28,213.255,0,5860,1.596,1.248,11.118,9.770001,11.0634
33,HAT-P-40 b,HATNet,4.45724,17.03768,152.5584,0,6080,1.94,1.03,11.34,10.009,11.4162
34,HAT-P-41 b,HATNet,2.69405,22.97845,378.2177,0,6390,2.05,2.56,11.365,9.728,10.939
35,HAT-P-42 b,HATNet,4.641878,14.348,331.801,0,5743,1.53,1.178,12.125,10.626,12.0031
37,HAT-P-44 b,HATNet,4.301219,13.922,111.871,0.044,5295,0.949,0.942,13.225,11.275,12.9729
38,HAT-P-45 b,HATNet,3.128992,15.984,283.492,0.049,6330,1.319,1.259,12.783,10.201,12.3977
39,HAT-P-46 b,HATNet,4.463129,14.392,156.684,0.123,6120,1.396,1.284,11.997,9.924,11.6843
40,HAT-P-49 b,HATNet,2.69155,17.82231,699.226,0,6820,2.06,2.22,10.205,9.346,10.2071
41,HAT-P-5 b,HATNet,2.78849,13.56289,311.4734,0,5960,1.12,1.04,11.954,10.481,11.8224
42,HAT-P-50 b,HATNet,3.1220109,14.437192,429.0705,0.115,6280,1.698,1.273,11.703,10.5,11.6722
44,HAT-P-52 b,HATNet,2.7535953,11.309881,259.98494,0.047,5131,0.893,0.887,14.107,11.621,13.787
45,HAT-P-53 b,HATNet,1.9616241,14.773462,471.65972,0.134,5956,1.209,1.093,13.78,12.1,13.5142
46,HAT-P-54 b,HATNet,3.799847,10.581296,241.5508,0.074,4390,0.617,0.645,13.398,10.326,13.0172
49,HAT-P-57 b,HATNet,2.4653,19.50366,448.1403,0,6330,1.85,2.77,10.639,9.433,10.4253
50,HAT-P-58 b,HATNet,4.0138379,14.93036229,118.2321674,0.073,6078,1.53,1.031,12.925,10.978,12.7202
51,HAT-P-59 b,HATNet,4.1419771,12.58768533,489.4557468,0.03,5678,1.1038,1.008,11.64,10.208,11.6787
52,HAT-P-6 b,HATNet,3.85298,16.58932,419.5356,0,6570,1.62,1.79,10.469,9.313,10.3056
53,HAT-P-60 b,HATNet,4.7947813,18.28184752,182.4335056,0.25,6212,2.197,1.435,9.727,8.368,9.56355
54,HAT-P-61 b,HATNet,1.90231289,10.07687365,335.9446262,0.113,5587,0.938,1.004,13.096,11.141,12.9386
55,HAT-P-62 b,HATNet,2.6453235,12.02723629,241.8674177,0.101,5629,1.17,1.023,12.539,10.701,12.4362
56,HAT-P-63 b,HATNet,3.377728,12.5428494,195.1466419,0.069,5400,0.9661,0.925,13.657,11.512,13.5106
57,HAT-P-64 b,HATNet,4.007232,19.08889413,184.3404761,0.101,6457,1.735,1.298,12.855,11.123,12.6221
59,HAT-P-66 b,HATNet,2.972086,17.82231,248.86089,0.09,6002,1.881,1.255,13.014,11.675,12.8922
60,HAT-P-67 b,HATNet,4.8101025,23.370765,108.0622,0,6406,2.546,1.642,10.106,8.9,9.97496
61,HAT-P-68 b,HATNet,2.29840551,12.016048,230.10892,0.041,4508,0.6701,0.6785,13.802,11.019,13.5442
62,HAT-P-69 b,HATNet,4.7869491,18.786284,1137.8314,0,7394,1.926,1.648,9.774,9.28,9.77332
63,HAT-P-7 b,HATNet,2.20474,16.92559,584.8072,0,6389,2,1.56,10.481,9.334,10.3654
64,HAT-P-70 b,HATNet,2.74432452,20.96083,2154.8874,0,8450,1.858,1.89,9.47,8.963,9.45174
65,HAT-P-8 b,HATNet,3.07634,15.6926,406.8224,0,6200,1.57,1.27,10.358,8.953,10.1489
66,HAT-P-9 b,HATNet,3.92281072,15.614137,238.05467,0.084,6350,1.338,1.281,12.344,11.015,12.1536
0,NGTS-1 b,Next-Generation Transit Survey (NGTS),2.647298,14.90797,258.07796,0.016,3916,0.573,0.617,15.667,11.936,14.8661
1,NGTS-10 b,Next-Generation Transit Survey (NGTS),0.7668944,13.506845,687.14846,0,4600,0.697,0.696,14.506,11.728,14.2604
2,NGTS-12 b,Next-Generation Transit Survey (NGTS),7.532806,11.747032,66.10864,0,5690,1.589,1.021,12.382,10.588,12.1279
3,NGTS-13 b,Next-Generation Transit Survey (NGTS),4.119027,12.800678,1538.2972,0.086,5819,1.788,1.3,12.744,11.141,12.5691
4,NGTS-14 A b,Next-Generation Transit Survey (NGTS),3.5357173,4.976796,29.24036,0,5187,0.842,0.898,13.268,11.305,13.0986
5,NGTS-15 b,Next-Generation Transit Survey (NGTS),3.27623,12.32987877,238.6891337,0,5600,0.954,0.995,14.669,12.907,14.4299
6,NGTS-16 b,Next-Generation Transit Survey (NGTS),4.84532,14.57167491,211.9915475,0,5550,1.213,1.002,14.529,12.647,14.2311
7,NGTS-17 b,Next-Generation Transit Survey (NGTS),3.24253,13.89913607,242.820903,0,5650,1.337,1.025,14.412,12.724,14.2136
